Body;Mass (kg);Radius (m);Period (s);Distance from Sun (m)
Mercury;3.30E+23;2.44E+06;7.60E+06;5.79E+10
Venus;4.87E+24;6.05E+06;1.94E+07;1.08E+11
Earth;5.97E+24;6.37E+06;3.156E+07;1.496E+11
Mars;6.42E+23;3.39E+06;5.94E+07;2.28E+11
Jupiter;1.90E+27;6.99E+07;3.74E+08;7.78E+11
Saturn;5.68E+26;5.82E+07;9.35E+08;1.43E+12
Uranus;8.68E+25;2.54E+07;2.64E+09;2.87E+12
Neptune;1.02E+26;2.46E+07;5.22E+09;4.50E+12
Pluto;1.30E+22;1.19E+06;7.82E+09;5.91E+12
Moon;7.35E+22;1.74E+06;;
Sun;1.99E+30;6.96E+08;;
